incidentdate,estimatedquantity,latitude,longitude
8/4/2024,5.2,5.1920556,6.5920833
4/26/2025,25,5.65806,6.5168086
4/29/2025,0.1,6.0690278,5.6075556
4/24/2025,3,5.9513639,5.0533861
8/7/2024,0.03,5.8102222,5.2166667
11/22/2024,40,5.8268283,5.1781267
11/23/2024,2,5.869535,5.1515367
4/14/2025,113.8,5.49225,5.4681944
5/30/2024,3,5.9502867,5.04424
4/24/2025,10.2,5.4955556,5.9186111
11/5/2024,65,5.434805,5.8836867
1/6/2025,3,5.4558333,5.8902778
7/31/2024,0.3774,4.4908611,6.0868333
7/30/2024,0.44025,4.4862222,6.0955
7/29/2024,0.25157,4.5149167,6.0281111
7/25/2024,7.3,4.9738111,6.6602889
7/17/2024,0.4,4.791817971,7.17651985
7/15/2024,0.26,4.7933889,5.9720556
7/12/2024,80,4.4509722,6.2650278
7/11/2024,27,4.655,5.9580833
7/10/2024,1,4.93155421,6.9680062
7/10/2024,0.198,4.6364444,5.9545833
7/9/2024,20,4.6542222,5.9578333
6/28/2024,0.1,5.2598,6.5273
6/27/2024,7,4.5088889,6.0406111
6/26/2024,503.1447,6.479745,4.0009561
6/21/2024,0.066,4.4871944,6.0936389
11/26/2024,2,5.85775,5.6871389
2/9/2025,17.6,5.8213889,5.6553056
10/27/2024,2,6.0133056,5.8893333
6/21/2024,0.26,4.4909167,6.0866667
6/19/2024,0.62,4.544,5.95575
6/15/2024,2.9,7.66194,5.15806
6/14/2024,5,4.48125,6.1001111
6/13/2024,0.13,4.4796111,6.1015278
6/13/2024,0.31,4.4796111,6.1015278
6/3/2024,5,4.6802778,5.9618611
6/30/2024,1,5.0165639,6.6921759
5/27/2024,2,4.88638891,5.66556189
5/27/2024,2,4.88638891,5.66556189
5/26/2024,7,4.7802778,5.9791111
5/24/2024,14.95,5.1141111,6.5665
5/24/2024,5,4.77025,5.9796667
5/23/2024,1,4.7728889,5.9801111
5/22/2024,0.1258,4.7802778,5.9791389
5/20/2024,17,5.1037778,6.4760556
5/12/2024,31,5.1140667,6.5664972
5/3/2024,0.5,4.97504,6.66368
4/25/2024,0.27,4.9544339,6.8113578
4/22/2024,8,4.6806389,5.9619444
4/18/2024,1,4.7667778,5.9789722
4/18/2024,0.0629,4.9693886,6.7251333
4/2/2024,0.4,5.0513322,6.5829722
4/1/2024,23,4.915205,7.018487
3/27/2024,5,4.7595,5.9773611
11/14/2024,5,459410,631317
3/22/2024,0.14,4.7608056,5.9777778
3/20/2024,0.15,4.7395278,5.9753611
3/17/2024,0.32,4.7398333,5.9754167
3/17/2024,0.15,4.7415,5.9757222
3/15/2024,0.1,4.9859111,7.1484222
3/12/2024,6,4.71225,6.0340833
3/9/2024,6,5.11375,6.5649167
3/7/2024,45,4.953884701,6.82132179
3/7/2024,16,5.0678,6.56627
2/25/2024,15,4.906781,5.614809
2/18/2024,89,5.0216944,6.3706667
2/9/2024,0.1,4.907494,6.355787
2/5/2024,0.3,5.025691,6.35356
2/5/2024,3,4.99830251,6.66569552
2/27/2024,0.3,5.4360617,5.85929
2/5/2025,0.5,4.5436111,8.0197222
2/4/2025,3,5.3886667,6.647
